Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.15562,93121,0.87574,0.91569,0.91722,0.00014,0.02142,0.876,0.934,0.912,0.935,0.941,0.888,0.925
0.15662,93011,0.87486,0.91501,0.91654,0.00014,0.02160,0.875,0.933,0.911,0.935,0.940,0.887,0.924
0.15761,92901,0.87402,0.91434,0.91586,0.00014,0.02178,0.874,0.932,0.910,0.934,0.940,0.887,0.923
0.15861,92791,0.87314,0.91365,0.91518,0.00014,0.02197,0.873,0.932,0.909,0.934,0.939,0.886,0.923
0.15961,92681,0.87230,0.91298,0.91451,0.00014,0.02215,0.872,0.931,0.909,0.933,0.938,0.885,0.922
0.16060,92571,0.87143,0.91230,0.91382,0.00014,0.02233,0.871,0.930,0.908,0.933,0.938,0.884,0.922
0.16160,92461,0.87050,0.91160,0.91313,0.00014,0.02252,0.871,0.930,0.907,0.932,0.937,0.883,0.921
0.16260,92351,0.86965,0.91092,0.91246,0.00014,0.02270,0.870,0.929,0.906,0.932,0.937,0.883,0.920
0.16360,92241,0.86879,0.91023,0.91176,0.00014,0.02288,0.869,0.929,0.906,0.931,0.936,0.882,0.920
0.16459,92131,0.86788,0.90952,0.91106,0.00014,0.02307,0.868,0.928,0.905,0.931,0.935,0.881,0.919
0.16559,92021,0.86703,0.90884,0.91038,0.00014,0.02326,0.867,0.927,0.904,0.930,0.935,0.880,0.918
0.16659,91911,0.86618,0.90815,0.90969,0.00014,0.02344,0.866,0.927,0.903,0.930,0.934,0.879,0.918
0.16759,91801,0.86529,0.90745,0.90899,0.00014,0.02363,0.865,0.926,0.903,0.929,0.933,0.879,0.917
0.16858,91691,0.86439,0.90674,0.90828,0.00014,0.02382,0.864,0.925,0.902,0.929,0.932,0.878,0.916
0.16958,91581,0.86362,0.90609,0.90761,0.00014,0.02400,0.864,0.925,0.901,0.928,0.932,0.877,0.916
0.17058,91471,0.86272,0.90540,0.90692,0.00014,0.02419,0.863,0.924,0.900,0.928,0.931,0.876,0.915
0.17158,91361,0.86182,0.90468,0.90621,0.00014,0.02438,0.862,0.923,0.900,0.927,0.930,0.876,0.914
0.17257,91251,0.86091,0.90399,0.90552,0.00014,0.02457,0.861,0.923,0.899,0.927,0.930,0.875,0.914
0.17357,91141,0.86011,0.90330,0.90482,0.00014,0.02475,0.860,0.922,0.898,0.926,0.929,0.874,0.913
0.17457,91031,0.85922,0.90262,0.90414,0.00014,0.02494,0.859,0.921,0.897,0.926,0.928,0.874,0.913
0.17557,90921,0.85840,0.90195,0.90346,0.00014,0.02512,0.858,0.921,0.897,0.926,0.927,0.873,0.912
0.17656,90811,0.85752,0.90127,0.90278,0.00014,0.02531,0.858,0.920,0.896,0.925,0.927,0.872,0.911
0.17756,90701,0.85667,0.90056,0.90207,0.00014,0.02550,0.857,0.920,0.895,0.925,0.926,0.872,0.911
0.17856,90591,0.85581,0.89986,0.90137,0.00015,0.02569,0.856,0.919,0.894,0.924,0.925,0.871,0.910
0.17956,90481,0.85498,0.89916,0.90067,0.00015,0.02588,0.855,0.918,0.894,0.923,0.925,0.870,0.909
0.18055,90371,0.85410,0.89845,0.89996,0.00015,0.02607,0.854,0.918,0.893,0.923,0.924,0.869,0.909
